"id","assetgroup","assettype","associationstatus","subnetworkname","creationdate","creator","lastupdate","updatedby","boundary","globalid","rw_name","notes","lifecyclestatus","legacyoid","legacyguid","address","city","county","operatingclass","ownedby","region","state","stationid","zip","stationguid","geoworxkey","shape_starea","shape_stlength","esri_layer_name","myw_geometry_world_name","myw_orientation_boundary"
898,"Electric Substation Boundary","Substation","None","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E610000001000000050000006AB6D2A1D43C55C0F2F74F752203434000000000E3361A3F000000000000000051D0DAAECD3C55C01EC9A48E2003434000000000E3361A3F000000000000000016CB281ECC3C55C079E7DBC92C03434000000000E3361A3F00000000000000001E39DF47D33C55C0BD6EB9BF2E03434000000000E3361A3F00000000000000006AB6D2A1D43C55C0F2F74F752203434000000000E3361A3F0000000000000000","{4502A781-95B5-4F9F-9D19-B5021A0891BC}","POWELL-TAYLOR",NULL,"In Service",2550,"{417B0821-F361-46AC-B353-1FB1DF89D561}","1024 Powell Taylor Road","Lawrenceburg",NULL,NULL,"Foreign","Central","KY","W109","40342","{417B0821-F361-46AC-B353-1FB1DF89D561}",NULL,"17451.531941463523","529.0866757308432","Structure Boundary","geo","0"
899,"Electric Substation Boundary","Substation","None","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E61000000100000005000000EA168857E42E55C0388DF6E29B81434000000000E3361A3F0000000000000000BEAD84F7DB2E55C0C73112CF9C81434000000000E3361A3F0000000000000000854D66C7DC2E55C07EC69118A981434000000000E3361A3F0000000000000000869169F0E42E55C0075E5C0DA881434000000000E3361A3F0000000000000000EA168857E42E55C0388DF6E29B81434000000000E3361A3F0000000000000000","{BD9C93A2-797F-4141-B066-233AB0CF9C30}","BURLINGTON",NULL,"In Service",2551,"{8BCA7CE2-1B55-40AC-BBE2-B204C796EF54}","6454 East Bend Road","Burlington",NULL,NULL,"Foreign","Bluegrass","KY","N77","41005","{8BCA7CE2-1B55-40AC-BBE2-B204C796EF54}",NULL,"19624.00187055664","560.5902736475019","Structure Boundary","geo","0"
901,"Electric Substation Boundary","Substation","None","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E610000001000000050000005522F7ADDFFF54C0DD19702FCD3A434000000000E3361A3F000000000000000038AB6598DDFF54C0F2894D37C43A434000000000E3361A3F00000000000000005B94CA22D5FF54C00B56C2C0C93A434000000000E3361A3F00000000000000002046D903D7FF54C048500F96D23A434000000000E3361A3F00000000000000005522F7ADDFFF54C0DD19702FCD3A434000000000E3361A3F0000000000000000","{2EDF745A-9984-426F-91A6-1995E2B9007B}","SNOW HILL",NULL,"In Service",2553,"{84A55EF0-CA0D-46CC-9CA3-215384094636}","49 Lovins Lane","Mt. Olivet",NULL,NULL,"Foreign","Bluegrass","KY","N76","41064","{84A55EF0-CA0D-46CC-9CA3-215384094636}",NULL,"16908.112503648324","532.6796788770201","Structure Boundary","geo","0"
902,"Electric Substation Boundary","Substation","None","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E61000000100000005000000A6200EE0901455C0620DF866F8C0424000000000E3361A3F000000000000000017B246268B1455C0AE1D2839F6C0424000000000E3361A3F0000000000000000C5842256891455C0ADD0E53402C1424000000000E3361A3F00000000000000003C4956F38E1455C09AD6434204C1424000000000E3361A3F0000000000000000A6200EE0901455C0620DF866F8C0424000000000E3361A3F0000000000000000","{8749471F-3ED8-407A-BA46-6FF132959529}","CONWAY",NULL,"In Service",2554,"{5F2B105F-2992-4B18-9D59-51F6DAE36783}","11510 N Wilderness Road","Berea",NULL,NULL,"Foreign","Central","KY","S103","40403","{5F2B105F-2992-4B18-9D59-51F6DAE36783}",NULL,"14072.796053414095","479.2381918218337","Structure Boundary","geo","0"
903,"Electric Substation Boundary","Substation","None","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E610000001000000050000004E4A386DBD4355C00A2B39D6BF8D424000000000E3361A3F0000000000000000339524A9BF4355C05E79A3A0B48D424000000000E3361A3F0000000000000000CFA4C417B84355C0111E30C0B08D424000000000E3361A3F00000000000000004CB5E7CEB54355C0BEDE295ABC8D424000000000E3361A3F00000000000000004E4A386DBD4355C00A2B39D6BF8D424000000000E3361A3F0000000000000000","{BD161BC2-1BAA-4121-9A89-166DE6A29269}","WEBBS CROSS ROADS",NULL,"In Service",2555,"{25AED27C-4D29-4CA7-BBC1-220B1E252FED}","2925 N. Highway 127","Russell Springs",NULL,NULL,"Foreign","Central","KY","S104","42642","{25AED27C-4D29-4CA7-BBC1-220B1E252FED}",NULL,"18772.62212834384","548.3606946445312","Structure Boundary","geo","0"
904,"Electric Substation Boundary","Substation","None","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E61000000100000009000000E363E9BE85E654C089E58CFF7574424000000000E3361A3F000000000000000055D2B54E86E654C01FDC14257174424000000000E3361A3F0000000000000000768C2BCF80E654C046260F9C6F74424000000000E3361A3F00000000000000004F965BF27FE654C0BE3E691E7074424000000000E3361A3F0000000000000000088936207FE654C0F72C4F567174424000000000E3361A3F00000000000000007645D9E07EE654C01100BDF27574424000000000E3361A3F0000000000000000AEE919697FE654C05308F8CD7674424000000000E3361A3F0000000000000000B2AE834A84E654C034D17A057874424000000000E3361A3F0000000000000000E363E9BE85E654C089E58CFF7574424000000000E3361A3F0000000000000000","{7C83C8AC-D293-40A8-932B-B876D2D70666}","ALEX CREEK",NULL,"In Service",2556,"{C1F0EF5B-8D50-4BF5-BF06-81506DCB97F7}","1749 Alex Creek Road","Flat Lick",NULL,NULL,"Foreign","Mountain","KY","S110","40935","{C1F0EF5B-8D50-4BF5-BF06-81506DCB97F7}",NULL,"9581.94876271692","378.1489795475802","Structure Boundary","geo","0"
905,"Electric Substation Boundary","Substation","None","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E61000000100000005000000DF2345E9B75155C01DCB2E55CC8D424000000000E3361A3F00000000000000006D04859CB65155C055EA62C9BF8D424000000000E3361A3F0000000000000000289BCB45AF5155C04B146DDFC18D424000000000E3361A3F0000000000000000ECA179ADB05155C08C1ECF96CE8D424000000000E3361A3F0000000000000000DF2345E9B75155C01DCB2E55CC8D424000000000E3361A3F0000000000000000","{F8009056-7AF7-45CA-936C-04ADC902FC70}","GARLIN",NULL,"In Service",2557,"{EF3AEEC8-1DFF-4809-9176-C2679D736383}","1591 Liberty Road","Columbia",NULL,NULL,"Foreign","Central","KY","S105","42728","{EF3AEEC8-1DFF-4809-9176-C2679D736383}",NULL,"18782.554691249505","548.6395899845452","Structure Boundary","geo","0"
906,"Electric Substation Boundary","Substation","None","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E61000000100000007000000100E3F9B8A3055C01CA3284CF66A434000000000E3361A3F000000000000000023E1E3E08A3055C0AAEBBB78EA6A434000000000E3361A3F00000000000000003D3D11DE893055C0F622BFBCE86A434000000000E3361A3F00000000000000004C35A90C843055C08ED04ACCE86A434000000000E3361A3F0000000000000000D203C2D9833055C0DD3F11B7F36A434000000000E3361A3F0000000000000000057BDB74853055C0918809E3F56A434000000000E3361A3F0000000000000000100E3F9B8A3055C01CA3284CF66A434000000000E3361A3F0000000000000000","{1FE1753E-09AF-4677-B165-8045B27C20D5}","STERLING",NULL,"In Service",2558,"{76F71F44-F5B6-4EAD-94EF-396527E31109}","100 Sierra Drive","Verona",NULL,NULL,"Foreign","Bluegrass","KY","N78","41092","{76F71F44-F5B6-4EAD-94EF-396527E31109}",NULL,"17022.99000243627","506.75496539120695","Structure Boundary","geo","0"
907,"Electric Substation Boundary","Substation","None","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E6100000010000000A000000B0E29F53690555C0F52557EB3E0E434000000000E3361A3F00000000000000004132302C5E0555C051C0A0E23F0E434000000000E3361A3F0000000000000000090E65F75B0555C05D84C7DD460E434000000000E3361A3F0000000000000000406C4D565C0555C02AC2E6E1520E434000000000E3361A3F00000000000000003FBEE9F6590555C0F56344A8560E434000000000E3361A3F0000000000000000EE7A5F105A0555C026ECCDC85F0E434000000000E3361A3F0000000000000000FFD8542A5D0555C05BCBC63B630E434000000000E3361A3F0000000000000000931CF6C45D0555C0E1CAEF886C0E434000000000E3361A3F000000000000000028B1CAA36A0555C05F1AFC186C0E434000000000E3361A3F0000000000000000B0E29F53690555C0F52557EB3E0E434000000000E3361A3F0000000000000000","{B95CF665-CEF7-4E1B-A1D6-FCAECE0B71FB}","NORTH CLARK",NULL,"In Service",2559,"{37DE28BF-BB5D-4F9D-911E-89FDAB2B226C}","1740 Donaldson Road","Winchester",NULL,NULL,"Foreign","Bluegrass","KY","E114","40391","{37DE28BF-BB5D-4F9D-911E-89FDAB2B226C}",NULL,"122458.82485535518","1476.2514840920644","Structure Boundary","geo","0"
908,"Electric Substation Boundary","Substation","None","Unknown","01/14/2020","ELECTRIC","03/03/2023","E030714@LGEADINT","01030000E0E61000000100000005000000472DB69B29E554C08FF6D79E0D95424000000000E3361A3F00000000000000006584D9462AE554C0F434405D0195424000000000E3361A3F000000000000000080C4A2DE22E554C0775D8EF7FF94424000000000E3361A3F000000000000000019BDE73322E554C0BE69741C0C95424000000000E3361A3F0000000000000000472DB69B29E554C08FF6D79E0D95424000000000E3361A3F0000000000000000","{6213EE3B-9633-4656-93B4-A642A3312283}","BIG CREEK",NULL,"In Service",2560,"{84DDA576-51CA-4138-BBBE-629269292F42}","100 North HWY 66","Manchester",NULL,NULL,"Foreign","Mountain","KY","E102","40962","{84DDA576-51CA-4138-BBBE-629269292F42}",NULL,"18048.70109253776","537.5879231382078","Structure Boundary","geo","0"
