Structure_ID,Structure_Number,Line_Name,Number_of_Circuits,Structure_Status,Structure_Owner,Old_Primary_Circuit_ID,Structure_Comments,Structure_Global_ID,Structure_Object_ID,Inspection_Date,Inspection_Comments,Inspection_Attribute_Name,Inspection_Status,WorkOrder_Name,WorkOrder_Status,WorkOrder_Due_Date,WorkOrder_Created_By,WorkOrder_Assigned_Date,WorkOrder_Assigned_To
DB89D392-05A8-4204-8F87-002AF6E5CDF7,169,FARLEY 128 (804) - ALCALDE 194 (814),1,,KU,,,AFABD17E-3502-4F90-9796-779072056A25,191093,2022-11-15 13:05:04.6451961,,OTHER: Leg 3,GOOD,614018 Alcade-Farley strs 160 and up Kris,Completed,,,2022-11-09 12:31:29.1800000,128E40B6-9004-40E6-8EBB-CA829079A35D
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) - SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:01.6865124,,POLE WALL: Pole 3,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) - SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:02.6555970,,CONDITION ABOVE GROUNDLINE : R-Pole,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
DB89D392-05A8-4204-8F87-002AF6E5CDF7,169,FARLEY 128 (804) - ALCALDE 194 (814),1,,KU,,,AFABD17E-3502-4F90-9796-779072056A25,191093,2022-11-15 13:05:03.7559922,,DIAGONAL: Pole 2,GOOD,614018 Alcade-Farley strs 160 and up Kris,Completed,,,2022-11-09 12:31:29.1800000,128E40B6-9004-40E6-8EBB-CA829079A35D
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) - SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:01.3934804,,DIAGONAL: Pole 5,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) - SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:02.0065240,,POST LEG: Pole 2,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
DB89D392-05A8-4204-8F87-002AF6E5CDF7,169,FARLEY 128 (804) - ALCALDE 194 (814),1,,KU,,,AFABD17E-3502-4F90-9796-779072056A25,191093,2016-05-31 15:20:52.0474720,,BRACING,GOOD,farley alcade inspection,Completed,2016-06-30 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-05-05 00:00:00.0000000,57381FD7-A17B-425A-A94C-7C48E08D6BB5
DB89D392-05A8-4204-8F87-002AF6E5CDF7,169,FARLEY 128 (804) - ALCALDE 194 (814),1,,KU,,,AFABD17E-3502-4F90-9796-779072056A25,191093,2016-05-31 15:20:52.4915075,,RIGHT OF WAY,GOOD,farley alcade inspection,Completed,2016-06-30 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-05-05 00:00:00.0000000,57381FD7-A17B-425A-A94C-7C48E08D6BB5
DB89D392-05A8-4204-8F87-002AF6E5CDF7,169,FARLEY 128 (804) - ALCALDE 194 (814),1,,KU,,,AFABD17E-3502-4F90-9796-779072056A25,191093,2016-05-31 15:20:52.0124677,,GROUNDLINE,GOOD,farley alcade inspection,Completed,2016-06-30 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-05-05 00:00:00.0000000,57381FD7-A17B-425A-A94C-7C48E08D6BB5
DB89D392-05A8-4204-8F87-002AF6E5CDF7,169,FARLEY 128 (804) - ALCALDE 194 (814),1,,KU,,,AFABD17E-3502-4F90-9796-779072056A25,191093,2016-05-31 14:49:38.7460880,,GROUNDLINE : R-Pole,GOOD,farley alcade inspection,Completed,2016-06-30 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-05-05 00:00:00.0000000,57381FD7-A17B-425A-A94C-7C48E08D6BB5
DB89D392-05A8-4204-8F87-002AF6E5CDF7,169,FARLEY 128 (804) - ALCALDE 194 (814),1,,KU,,,AFABD17E-3502-4F90-9796-779072056A25,191093,2016-05-31 15:20:52.0914775,,DOWN GUY,GOOD,farley alcade inspection,Completed,2016-06-30 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-05-05 00:00:00.0000000,57381FD7-A17B-425A-A94C-7C48E08D6BB5
