ID,PIC_NUM,PIC_DATE,IMAGE_NAME,PIC_LAT,PIC_LONG,PIC_DIR,UPLOAD_DATE,SOURCE_TYPE_ID,OBJECT_ID,OBJECT_TYPE_ID,SOURCE_ID,WO_ID,SEQUENCE,FILE_NAME,FILE_PATH,COMMENTS,SEQ_ID,STATUS_ID,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,THUMBNAIL_URL,STANDARDSIZE_URL,ACTUALSIZE_URL,IMAGEGENERATED
C0D3DD17-B304-456B-B6E5-000001F77201,,2018-12-03 18:11:26.5808295,ddf72f60-0dfe-4a41-915b-69cb97ce7856_451001_322_12032018_1211_2.png,,,,2018-12-03 18:11:26.5808295,,DDF72F60-0DFE-4A41-915B-69CB97CE7856,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,F822ECA9-A115-4C02-88DC-F6C1790DF8C4,,2D3E3C50-8751-4AB2-B9FB-C5721B92B027.JPG,,,,,2D5A940E-18ED-4BF9-9C68-D53563D71346,2018-12-03 18:11:26.580,2D5A940E-18ED-4BF9-9C68-D53563D71346,2018-12-03 18:11:26.580,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/ddf72f60-0dfe-4a41-915b-69cb97ce7856_451001_322_12032018_1211_2.png,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/ddf72f60-0dfe-4a41-915b-69cb97ce7856_451001_322_12032018_1211_2.png,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/ddf72f60-0dfe-4a41-915b-69cb97ce7856_451001_322_12032018_1211_2.png,False
B092D1B7-FBAC-470E-BA25-0000021023FB,1.0,2018-11-23 15:04:53.0000000,elizabethtown-gates rubber_32_#32_052416_kysps_v1,37.683508,-85.89004856,,2018-11-23 15:04:53.0000000,,4AC3BC88-45CB-4426-9023-4ED1BCD92DE5,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,,,elizabethtown-gates rubber_32_#32_052416_kysps_v1.jpg,elizabethtown-gates rubber_32_#32_052416_kysps_v1.jpg,Oblique,1.0,,B2664175-236C-4915-B607-28E916C1F58F,2018-11-23 15:04:53.000,B2664175-236C-4915-B607-28E916C1F58F,2018-11-23 15:04:53.000,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/b092d1b7-fbac-470e-ba25-0000021023fb.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/b092d1b7-fbac-470e-ba25-0000021023fb.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/b092d1b7-fbac-470e-ba25-0000021023fb.jpg,True
A5B99DB9-0ED4-4E05-A004-00000BE16DED,,2022-10-10 20:31:18.3774978,7d5f7906-8c0d-40fd-9978-ddaa09ee5ac4_695061_350_10102022_1631_1.png,,,,2022-10-10 20:31:18.3774978,,7D5F7906-8C0D-40FD-9978-DDAA09EE5AC4,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,F8C88611-D9C6-4FB1-B9DA-BA14F5BAA7E8,,E7F2BE93-ECC1-40F3-B41B-7C60EF015DC6,,,,,E637B494-DFE0-4151-8E8A-B08F000E2835,2022-10-10 20:31:18.377,E637B494-DFE0-4151-8E8A-B08F000E2835,2022-10-10 20:31:18.377,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/7d5f7906-8c0d-40fd-9978-ddaa09ee5ac4_695061_350_10102022_1631_1.png,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/7d5f7906-8c0d-40fd-9978-ddaa09ee5ac4_695061_350_10102022_1631_1.png,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/7d5f7906-8c0d-40fd-9978-ddaa09ee5ac4_695061_350_10102022_1631_1.png,False
DF3B1B4A-9976-4FAB-AE54-000063803250,,2024-08-01 15:34:36.3835711,71e76650-b3ce-4cd7-833b-64da05b200cb_451001_21_08012024_1134_4.png,,,,2024-08-01 15:34:36.3835711,,71E76650-B3CE-4CD7-833B-64DA05B200CB,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,3D4E28EF-830F-4938-89C6-1EB72BD683BE,,9F670028-AD74-42FF-BB40-F0091AA5822F,,,,,70E802F3-0BD2-47DC-A80C-B891FED183D9,2024-08-01 15:34:36.383,70E802F3-0BD2-47DC-A80C-B891FED183D9,2024-08-01 15:34:36.383,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/71e76650-b3ce-4cd7-833b-64da05b200cb_451001_21_08012024_1134_4.png,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/71e76650-b3ce-4cd7-833b-64da05b200cb_451001_21_08012024_1134_4.png,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/71e76650-b3ce-4cd7-833b-64da05b200cb_451001_21_08012024_1134_4.png,False
979E286B-FFA8-4021-9DC7-00007058FAA0,,2021-09-07 20:36:14.4607075,b1651bfe-db02-49f6-952d-64ad23fe4831_691013_14-405_09072021_1535_1.png,,,,2021-09-07 20:36:14.4607075,,B1651BFE-DB02-49F6-952D-64AD23FE4831,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,A8B4B956-B8EB-4FF5-BA48-19D7C54D2924,,D070417C-966C-402F-8812-8EB9A3EC672A,,,,,2D5A940E-18ED-4BF9-9C68-D53563D71346,2021-09-07 20:36:14.460,2D5A940E-18ED-4BF9-9C68-D53563D71346,2021-09-07 20:36:14.460,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/b1651bfe-db02-49f6-952d-64ad23fe4831_691013_14-405_09072021_1535_1.png,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/b1651bfe-db02-49f6-952d-64ad23fe4831_691013_14-405_09072021_1535_1.png,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/b1651bfe-db02-49f6-952d-64ad23fe4831_691013_14-405_09072021_1535_1.png,False
941CE3E2-C954-46C2-9998-00014834D32B,1.0,2018-11-24 04:12:01.0000000,green co - taylor co_155_271_052416_kysps_v1,37.35026564,-85.35555367,,2018-11-24 04:12:01.0000000,,5669E090-EC58-429B-8A85-DB8FBC80A6D1,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,,,green co - taylor co_155_271_052416_kysps_v1.jpg,green co - taylor co_155_271_052416_kysps_v1.jpg,Oblique,1.0,,B2664175-236C-4915-B607-28E916C1F58F,2018-11-24 04:12:01.000,B2664175-236C-4915-B607-28E916C1F58F,2018-11-24 04:12:01.000,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/941ce3e2-c954-46c2-9998-00014834d32b.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/941ce3e2-c954-46c2-9998-00014834d32b.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/941ce3e2-c954-46c2-9998-00014834d32b.jpg,True
F6F891D6-C049-434D-AB32-000149C8C481,,2020-11-30 14:53:15.8686768,7bbc3e53-2869-41a8-ae83-84bbe13bccd3_1E86D3CF-AAFD-43CC-9A14-E387819DAFA10.7943348180962749.png,,,,2020-11-30 14:53:15.8686768,,7BBC3E53-2869-41A8-AE83-84BBE13BCCD3,51EABFD8-E655-43A6-A4B9-DE518B0A32B1,,DFA80416-7E35-40DA-A402-DBD3A10EAC3F,,1E86D3CF-AAFD-43CC-9A14-E387819DAFA1.JPG,,,,,84084EBB-E096-42E4-8959-303AC8976A07,2020-11-30 14:53:15.870,84084EBB-E096-42E4-8959-303AC8976A07,2020-11-30 14:53:15.870,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/7bbc3e53-2869-41a8-ae83-84bbe13bccd3_1E86D3CF-AAFD-43CC-9A14-E387819DAFA10.7943348180962749.png,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/7bbc3e53-2869-41a8-ae83-84bbe13bccd3_1E86D3CF-AAFD-43CC-9A14-E387819DAFA10.7943348180962749.png,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/7bbc3e53-2869-41a8-ae83-84bbe13bccd3_1E86D3CF-AAFD-43CC-9A14-E387819DAFA10.7943348180962749.png,False
EEE5A6AA-52DC-4378-BFAA-00017008329D,1.0,2019-04-05 01:29:48.3612710,8fc9070d-98af-4eb3-b130-d501a12e799c_190860.jpg,0.0,0.0,0,2019-04-05 01:29:48.3612710,,8FC9070D-98AF-4EB3-B130-D501A12E799C,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,C30A2794-9545-4731-848D-E940FE4A6C8C,,190860.jpg,,,1.0,5A368846-92DC-4B34-842B-8B03D5A95C34,B2664175-236C-4915-B607-28E916C1F58F,2019-04-05 01:29:48.360,B2664175-236C-4915-B607-28E916C1F58F,2019-04-05 01:29:48.360,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/8fc9070d-98af-4eb3-b130-d501a12e799c_190860.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/8fc9070d-98af-4eb3-b130-d501a12e799c_190860.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/8fc9070d-98af-4eb3-b130-d501a12e799c_190860.jpg,False
8C0A8BAF-B7D5-43D9-8742-00017B8676CB,1.0,2018-11-26 17:43:21.0000000,rumsey-corydon_41_020_063015_kysps_v1,37.52342131,-87.29008647,,2018-11-26 17:43:21.0000000,,6F25DE58-285D-4D67-9661-EC92C9C2B6DE,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,,,rumsey-corydon_41_020_063015_kysps_v1.jpg,rumsey-corydon_41_020_063015_kysps_v1.jpg,Oblique,1.0,,B2664175-236C-4915-B607-28E916C1F58F,2018-11-26 17:43:21.000,B2664175-236C-4915-B607-28E916C1F58F,2018-11-26 17:43:21.000,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/8c0a8baf-b7d5-43d9-8742-00017b8676cb.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/8c0a8baf-b7d5-43d9-8742-00017b8676cb.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/8c0a8baf-b7d5-43d9-8742-00017b8676cb.jpg,True
C7585DA8-B499-419F-BE72-00018B4471D6,20.0,2023-11-28 00:00:00.0000000,382015-167-20_11282023.jpg,0.0,0.0,0,2024-01-06 00:00:00.0000000,,E75563BF-52C2-4764-8B4D-97621376654D,A8771CA5-3B8C-4CA8-8958-8C336B7EDA3C,,63521C72-2400-40C8-98AF-D4EAB09BD37F,,382015-167-20_11282023.jpg,,,1.0,,9D1834A5-0B2E-40F4-B0E5-473CF84CD224,2023-11-28 00:00:00.000,9D1834A5-0B2E-40F4-B0E5-473CF84CD224,,https://s3.amazonaws.com/qsi-insite-photos-prod/600x600/LKE/382015-167-20_11282023.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/1000x1000/LKE/382015-167-20_11282023.jpg,https://s3.amazonaws.com/qsi-insite-photos-prod/LKE/382015-167-20_11282023.jpg,False
